codigo,localidad,score_fuego_estructural,score_agua,score_remocion,score_operativo,indice_bogota_base,indice_bogota_dinamico,indice_presion_ecoterritorial_bogota,nivel,driver_principal,corredor_estrategico,incidentes_7d,lluvia_72h_mm,resumen,water_area,water_feature_count,water_rio_bogota,humedal_area_proxy,humedal_feature_count,score_agua_real,score_agua_demo,fuente_agua_real
05,Usme,0.92,0.746,0.76,0.68,0.812,0.68,0.766,Crítico,Incendio forestal y borde urbano-rural,Corredor Borde Sur y Sumapaz,4,62,"Mayor presión combinada por borde rural, vegetación susceptible, eventos recientes y lluvia acumulada.",2226236.349366025,124.0,122.0,0.0,0.0,0.746,0.48,Datos Abiertos Bogota: cuerpo de agua + humedales
19,Ciudad Bolívar,0.71,0.676,0.88,0.64,0.759,0.64,0.717,Crítico,Remoción en masa y ladera,Corredor Laderas del Sur,5,58,"El perfil más crítico junto con Usme por pendientes, informalidad de borde y recurrencia operativa alta.",1008775.7968248259,34.0,34.0,0.0001913065472613969,94.0,0.676,0.57,Datos Abiertos Bogota: cuerpo de agua + humedales
04,San Cristóbal,0.74,0.366,0.84,0.61,0.663,0.61,0.644,Alto,Remoción e interfaz cerros-ciudad,Corredor Cerros Surorientales,3,54,Ladera urbana densa con historial operativo alto y sensibilidad marcada en taludes y drenajes.,4506.708292681,5.0,5.0,0.0,0.0,0.366,0.46,Datos Abiertos Bogota: cuerpo de agua + humedales
03,Santa Fe,0.69,0.547,0.72,0.56,0.658,0.56,0.624,Alto,Cerros orientales y quebradas,Corredor Cerros Centro,2,49,"Combina proximidad a cerros, quebradas de montaña y exposición a eventos de ladera en interfaz centro-oriente.",63615.978490435,29.0,26.0,0.0,0.0,0.547,0.52,Datos Abiertos Bogota: cuerpo de agua + humedales
01,Usaquén,0.58,0.654,0.63,0.47,0.62,0.47,0.568,Alto,Borde norte y presión sobre cerros,Corredor Cerros Norte,1,38,Transición entre expansión urbana y ladera con presión moderada sobre quebradas y borde ecológico.,617535.946544196,22.0,22.0,0.00017994510828112445,414.0,0.654,0.44,Datos Abiertos Bogota: cuerpo de agua + humedales
20,Sumapaz,0.83,0.638,0.51,0.34,0.66,0.34,0.548,Medio,Cobertura natural y fuego rural,Corredor Páramo y ruralidad,0,29,"Gran relevancia ecológica y alta sensibilidad al fuego rural, aunque con menor presión operativa urbana inmediata.",2091636.867172205,32.0,5.0,0.0,0.0,0.638,0.37,Datos Abiertos Bogota: cuerpo de agua + humedales
11,Suba,0.34,0.968,0.29,0.52,0.511,0.52,0.514,Medio,Humedales y anegamiento,Corredor Humedales Noroccidente,2,57,La cercanía a humedales y cauces hace que la presión hídrica pese más que fuego o remoción.,3588957.497569873,66.0,66.0,0.0021038286470798947,2741.0,0.968,0.81,Datos Abiertos Bogota: cuerpo de agua + humedales
18,Rafael Uribe Uribe,0.41,0.367,0.63,0.46,0.474,0.46,0.469,Medio,Ladera urbana y drenaje,Corredor Suroriente,2,45,Conecta presión de ladera con lluvia reciente y drenajes que aceleran afectación en barrios de pendiente.,50254.5336524,1.0,1.0,0.0,0.0,0.367,0.38,Datos Abiertos Bogota: cuerpo de agua + humedales
02,Chapinero,0.46,0.527,0.58,0.36,0.522,0.36,0.465,Medio,Ladera y quebradas urbanas,Corredor Cerros Centro,1,33,Localidad compacta con ladera urbana sensible y drenajes cortos que responden rápido a eventos intensos.,35594.050777797,27.0,27.0,0.0,0.0,0.527,0.31,Datos Abiertos Bogota: cuerpo de agua + humedales
06,Tunjuelito,0.28,0.541,0.34,0.53,0.379,0.53,0.432,Medio,Canalización y drenaje urbano,Corredor Tunjuelo,2,59,Localidad altamente urbana con señal relevante en drenaje y conectividad al corredor del Tunjuelo.,233332.12251135,6.0,6.0,0.00010174647664894382,134.0,0.541,0.66,Datos Abiertos Bogota: cuerpo de agua + humedales
